uniqid,zip,year,month,day,sid,type,name,lat,lon,nth,distance,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,RAW
1001,7853,1999,12,15,USC00285003,GHCND,LONG VALLEY,40.7875,-74.7789,1,1547,NA,165,0,0,44,33,"USC00285003199912TMAX   28  0    6  0   83  0  144  0  144  0  167  0  111  0   89  0  100  0  139  0  100  0   56  0   44  0   56  0   44  0   72  0   78  0   44  0   33  0   44  0   72  0   50  0   33  0   44  0  -22  0  -17  0  -11  0  -17  0  -22  0   11  0   72  0
USC00285003199912TMIN  -67  0  -61  0  -44  0  -33  0    0  0    0  0   44  0  -22  0  -39  0  -33  0    0  0  -11  0  -44  0  -39  0   33  0   44  0  -11  0  -22  0  -22  0  -22  0    0  0    0  0  -72  0  -78  0 -122  0 -122  0  -67  0  -78  0  -72  0  -67  0  -44  0
USC00285003199912TOBS  -61  0  -28  0  -33  0   56  0    0  0   83  0   44  0  -11  0  -33  0    0  0   28  0    0  0  -39  0   44  0   44  0   56  0  -11  0    0  0  -11  0    0  0   56  0    6  0  -67  0  -72  0 -122  0  -67  0  -33  0  -72  0  -33  0  -22  0   11  0
USC00285003199912PRCP    0P 0    0P 0    0P 0   15  0    0P 0    0T 0  122  0    0P 0    0P 0    0P 0   51  0    0P 0    0P 0   48  0  165  0   18  0    8  0    0P 0    0P 0    0T 0  198  0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    5  0
USC00285003199912SNOW    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0
USC00285003199912SNWD    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0
"
1002,70503,1999,12,15,16502108,COOP,LAFAYETTE,30.21916667,-92.065,1,5288,NA,0,0,0,138.8888889,16.66666667,"DLY16502108DYSWNA19991299990071224 00700 41824 00700 41924 00200 42024 00700 42924 00200 43024 00200 43124 00200 4
DLY16502108PRCPHI19991299990310123 00000 R0223 00000 R0323 00005 00423 00001 00523 00033 00623 00000 R0723 00000 R0823 00000 R0923 00007 01023 00000 R1123 00000 R1223 00056 01323 00003 01423 00000 R1523 00000 R1623 00000 R1723 00000 R1823 00163 01923 00000 R2023 00195 02123 00020 02223 00000 R2323 00000 R2423 00000 R2523 00000 R2623 00000 R2723 00000 R2823 00000 R2923 00000 R3023 00000 R3123 00000 R
DLY16502108SNOWTI19991299990310123 00000 R0223 00000 R0323 00000 R0423 00000 R0523 00000 R0623 00000 R0723 00000 R0823 00000 R0923 00000 R1023 00000 R1123 00000 R1223 00000 R1323 00000 R1423 00000 R1523 00000 R1623 00000 R1723 00000 R1823 00000 R1923 00000 R2023 00000 R2123 00000 R2223 00000 R2323 00000 R2423 00000 R2523 00000 R2623 00000 R2723 00000 R2823 00000 R2923 00000 R3023 00000 R3123 00000 R
DLY16502108SNWD I19991299990310123 00000 R0223 00000 R0323 00000 R0423 00000 R0523 00000 R0623 00000 R0723 00000 R0823 00000 R0923 00000 R1023 00000 R1123 00000 R1223 00000 R1323 00000 R1423 00000 R1523 00000 R1623 00000 R1723 00000 R1823 00000 R1923 00000 R2023 00000 R2123 00000 R2223 00000 R2323 00000 R2423 00000 R2523 00000 R2623 00000 R2723 00000 R2823 00000 R2923 00000 R3023 00000 R3123 00000 R
DLY16502108TMAX F19991299990310123 00069 00223 00073 00323 00076 00423 00079 00523 00069 00623 00055 00723 00061 00823 00069 00923 00075 01023 00060 01123 00067 01223 00077 01323 00057 01423 00064 01523 00057 01623 00061 01723 00068 01823 00059 01923 00058 02023 00051 02123 00050 02223 00053 02323 00058 02423 00065 02523 00053 02623 00062 02723 00068 02823 00056 02923 00069 03023 00072 03123 00074 0
DLY16502108TMIN F19991299990310123 00033 00223 00051 00323 00053 00423 00063 00523 00043 00623 00034 00723 00030 00823 00046 00923 00055 01023 00039 01123 00042 01223 00057 01323 00050 01423 00037 01523 00035 01623 00026 01723 00035 01823 00048 01923 00037 02023 00044 02123 00035 02223 00029 02323 00029 02423 00030 02523 00031 02623 00027 02723 00044 02823 00036 02923 00035 03023 00043 03123 00053 0
DLY16502108TOBS F19991299990310123 00055 00223 00063 00323 00066 00423 00069 00523 00043 00623 00038 00723 00050 00823 00061 00923 00056 01023 00047 01123 00062 01223 00057 01323 00050 01423 00053 01523 00035 01623 00041 01723 00055 01823 00048 01923 00046 02023 00050 02123 00035 02223 00039 02323 00036 02423 00049 02523 00036 02623 00046 02723 00047 02823 00039 02923 00047 03023 00058 03123 00053 0
"
1003,38118,1999,12,26,40595404,COOP,MEMPHIS INTL AP,35.05638889,-89.98638889,1,5685,NA,0,NA,NA,133.3333333,-5.555555556,"DLY40595404DYSWNA19991299990030424 00700 40924 00700 41224 00700 4
DLY40595404DYSWNA19991299990110324 01302 40424 01302 40524 01302 40924 01302 41024 01300 41224 01302 41324 01302 41424 00200 42024 00102 42724 01300 42824 01400 4
DLY40595404PRCPHI19991299990310124 00000 00224 00000 00324 00038 00424 00025 00524 00068 00624 00000 00724 00000 00824 00000 00924 00045 01024 00000T01124 00000 01224 00255 01324 00042 01424 00000 01524 00000 01624 00000 01724 00000 01824 00000 01924 00000 02024 00000 02124 00000 02224 00000 02324 00000 02424 00000 02524 00000 02624 00000 02724 00000T02824 00000T02924 00000 03024 00000 03124 00000 0
DLY40595404TMAX F19991299990310124 00058 00224 00069 00324 00068 00424 00070 00524 00065 00624 00047 00724 00054 00824 00058 00924 00064 01024 00057 01124 00055 01224 00051 01324 00047 01424 00052 01524 00054 01624 00057 01724 00059 01824 00053 01924 00056 02024 00050 02124 00038 02224 00048 02324 00051 02424 00045 02524 00042 02624 00056 02724 00053 02824 00049 02924 00057 03024 00067 03124 00066 0
DLY40595404TMIN F19991299990310124 00032 00224 00043 00324 00053 00424 00061 00524 00043 00624 00033 00724 00033 00824 00038 00924 00045 01024 00040 01124 00034 01224 00046 01324 00041 01424 00037 01524 00036 01624 00030 01724 00037 01824 00038 01924 00036 02024 00038 02124 00028 02224 00024 02324 00026 02424 00029 02524 00023 02624 00031 02724 00025 02824 00027 02924 00030 03024 00041 03124 00042 0
DLY40595404WTEQTI19991299990310124 00000 00224 00000 00324 00000 00424 00000 00524 00000 00624 00000 00724 00000 00824 00000 00924 00000 01024 00000 01124 00000 01224 00000 01324 00000 01424 00000 01524 00000 01624 00000 01724 00000 01824 00000 01924 00000 02024 00000 02124 00000 02224 00000 02324 00000 02424 00000 02524 00000 02624 00000 02724 00000 02824 00000 02924 00000 03024 00000 03124 00000 0
"
1004,32548,1999,12,17,747770-03852,USAF-WBAN,HURLBURT FIELD (AF),30.417,-86.683,12,7100,31.38084,0,NA,999.9,150,10,"747770 03852  19991217    45.8 24    31.1 24  1024.3 24  9999.9  0    7.0 24    6.1 24    9.9  999.9    59.0*   33.8*  0.00I 999.9  000000
"
1005,7863,1999,12,17,USC00280734,GHCND,BELVIDERE BRG,40.8292,-75.0836,11,10805,NA,5,0,0,72,-22,"USC00280734199912TMAX   28  0   22  0   94  0  128  0  150  0  178  0  117  0   89  0   94  0  133  0   89  0   67  0   61  0   44  0   44  0   72  0   72  0   61  0   56  0   50  0   56  0   44  0   50  0   28  0  -22  0    0  0   28  0    0  0  -28  0   28  0   78  0
USC00280734199912TMIN  -72  0  -72  0  -33 I0   17 I0   11  0   56 I0   44  0  -50  0  -44  0  -33  0   28 I0  -22  0  -50  0   28 I0   17  0   33  0  -22  0  -22  0  -17  0  -39  0   17 I0    0  0  -72  0  -78  0 -111  0  -67 I0  -28 I0 -100  0  -56 I0  -33 I0  -33  0
USC00280734199912TOBS  -67  0  -67 I0  -22 I0   33  0   17 I0   78  0   50  0  -44  0  -28  0   -6 I0   33  0  -17  0  -33 I0   33  0   33  0   50  0  -17  0    0  0  -17  0  -17 I0   22  0    6  0  -72  0  -72  0 -111 I0  -50 I0  -22  0  -94 I0  -50 I0  -28  0    6  0
USC00280734199912PRCP    0  0    0  0    0  0    3  0    5  0   20  0   74  0    0  0    0  0    0  0   51  0    0  0    0  0   48  0  239  0    5  0    5  0    0  0    0  0    3  0  102  0    0  0    0  0    0  0    3  0    0  0    0  0    0  0    0T 0    0  0    3  0
USC00280734199912SNOW    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0-9999       0P 0    0P 0    0P 0-9999       0P 0    0P 0
USC00280734199912SNWD    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0
USC00280734199912WT01-9999   -9999   -9999   -9999       1  0-9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   
USC00280734199912WT06-9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999       1  0-9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   
"
1006,10705,1999,12,15,USC00286146,GHCND,NEW MILFORD,40.9611,-74.0158,13,11017,NA,5,0,0,NA,NA,"USC00286146199912PRCP    3  0    8  0    0  0   23  0    0  0  191  0    0  0    0  0    0  0   33  0    3  0    3  0   41  0  152  0    5  0    0  0    0  0    0  0    5  0  193  0    0  0    0  0    3  0    0  0    3  0    5  0    3  0    0  0    3  0    3  0    0  0
USC00286146199912SNOW    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0
USC00286146199912SNWD    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0
"
1007,80931,1999,12,19,5177801,COOP,COLORADO SPGS MUNI AP,38.81,-104.6883333,17,7585,NA,0,0,0,38.88888889,-94.44444444,"DLY05177801DYSWNA19991299990010324 01000 4
DLY05177801DYSWNA19991299990090324 01402 40424 01410 40824 01402 41424 01410 41724 01400 41924 01402 42024 01402 42124 01400 42224 01402 4
DLY05177801PRCPHI19991299990310124 00000 00224 00000 00324 00015 00424 00002 00524 00000 00624 00000 00724 00000 00824 00003 00924 00000 01024 00000 01124 00000 01224 00000 01324 00000 01424 00000T01524 00000 01624 00000 01724 00000T01824 00000 01924 00000T02024 00000T02124 00000T02224 00000T02324 00000 02424 00000 02524 00000 02624 00000 02724 00000 02824 00000 02924 00000 03024 00000 03124 00000 0
DLY05177801SNOWTI19991299990310124 00000 00224 00000 00324 00016 00424 00003 T0524 00000 00624 00000 00724 00000 00824 00004 00924 00000 01024 00000 01124 00000 01224 00000 01324 00000 01424 00000T01524 00000 01624 00000 01724 00000T01824 00000 01924 00000 02024 00000 02124 00000 02224 00000T02324 00000 02424 00000 02524 00000 02624 00000 02724 00000 02824 00000 02924 00000 03024 00000 03124 00000 0
DLY05177801SNWD I19991299990310124 00000 00224 00000 00324 00000 00424 00002 T0524 00000 00624 00000 00724 00000 00824 00000 00924 00000 01024 00000 01124 00000 01224 00000 01324 00000 01424 00000 01524 00000 01624 00000 01724 00000 01824 00000 01924 00000 02024 00000 02124 00000 02224 00000 02324 00000 02424 00000 02524 00000 02624 00000 02724 00000 02824 00000 02924 00000 03024 00000 03124 00000 0
DLY05177801TMAX F19991299990310124 00060 00224 00049 00324 00036 00424 00031 00524 00045 00624 00050 00724 00053 00824 00030 00924 00036 01024 00047 01124 00037 01224 00042 01324 00052 01424 00035 01524 00045 01624 00055 01724 00046 01824 00055 01924 00039 02024 00026 02124 00031 02224 00041 02324 00049 02424 00056 02524 00055 02624 00048 02724 00049 02824 00062 02924 00064 03024 00050 03124 00055 0
DLY05177801TMIN F19991299990310124 00036 00224 00029 00324 00026 00424 00015 00524 00012 00624 00025 00724 00028 00824 00016 00924 00011 01024 00019 01124 00018 01224 00019 01324 00020 01424 00020 01524 00015 01624 00021 01724 00024 01824 00020 01924 00015 02024 00013 02124 00013 02224 00015 02324 00019 02424 00028 02524 00027 02624 00026 02724 00026 02824 00028 02924 00025 03024 00023 03124 00020 0
DLY05177801WTEQTI19991299990310124 00000 00224 00000 00324 00000 00424 00000 00524 00000 00624 00000 00724 00000 00824 00000 00924 00000 01024 00000 01124 00000 01224 00000 01324 00000 01424 00000 01524 00000 01624 00000 01724 00000 01824 00000 01924 00000 02024 00000 02124 00000 02224 00000 02324 00000 02424 00000 02524 00000 02624 00000 02724 00000 02824 00000 02924 00000 03024 00000 03124 00000 0
"
1008,3878,1999,12,17,27725302,COOP,ROCHESTER,43.30027778,-70.98277778,8,8590,NA,0,0,0,NA,NA,"DLY27725302DYSWNA19991299990011024 00200 4
DLY27725302PRCPHI19991299990310107 00000 00207 00000 00307 00000 00407 00004 00507 00012 00607 00000 00707 00078 00807 00010 00907 00000 01007 00000 01107 00012 01207 00000 01307 00000 01407 00000 R1507 00000T01607 00022 01707 00000T01807 00000 01907 00000 02007 00000 02107 00080 02207 00000 02307 00000T02407 00000 02507 00000 02607 00000 02707 00000 02807 00000 02907 00000 03007 00000 03107 00000 0
DLY27725302SNOWTI19991299990310107 00000 00207 00000 00307 00000 00407 00000 00507 00000 00607 00000 00707 00000 00807 00000 00907 00000 01007 00000 01107 00000 01207 00000 01307 00000 01407 00000 01507 00000T01607 00000T01707 00000 01807 00000 01907 00000 02007 00000 02107 00000T02207 00000 02307 00000T02407 00000 02507 00000 02607 00000 02707 00000 02807 00000 02907 00000 03007 00000 03107 00000 0
DLY27725302SNWD I19991299990310107 00000 00207 00000 00307 00000 00407 00000 00507 00000 00607 00000 00707 00000 00807 00000 00907 00000 01007 00000 01107 00000 01207 00000 01307 00000 01407 00000 01507 00000 01607 00000 01707 00000 01807 00000 01907 00000 02007 00000 02107 00000 02207 00000 02307 00000 02407 00000 02507 00000 02607 00000 02707 00000 02807 00000 02907 00000 03007 00000 03107 00000 0
"
1009,17222,1999,12,16,36830804,COOP,SOUTH MTN,39.85833333,-77.4775,2,5099,NA,0,0,0,NA,NA,"DLY36830804PRCPHI19991299990310107 00000 00207 00000 00307 00000 00407 00000 00507 00000 00607 00052 00707 00000T00807 00000 00907 00000 01007 00000 01107 00052 01207 00000 01307 00000T01407 00054 01507 00048 01607 00000 01707 00000 01807 00002 01907 00000 02007 00006 02107 00030 02207 00000T02307 00000 02407 00000 02507 00000 02607 00000 02707 00000 02807 00000 02907 00000T03007 00000 03107 00000 0
DLY36830804SNOWTI19991299990310107 00000 00207 00000 00307 00000 00407 00000 00507 00000 00607 00000 00707 00000 00807 00000 00907 00000 01007 00000 01107 00000 01207 00000 01307 00000 01407 00000 01507 00000 01607 00000 01707 00000 01807 00000 01907 00000 02007 00000 02107 00000 02207 00000T02307 00000 02407 00000 02507 00000 02607 00000 02707 00000 02807 00000 02907 00000T03007 00000 03107 00000 0
DLY36830804SNWD I19991299990310107 00000 00207 00000 00307 00000 00407 00000 00507 00000 00607 00000 00707 00000 00807 00000 00907 00000 01007 00000 01107 00000 01207 00000 01307 00000 01407 00000 01507 00000 01607 00000 01707 00000 01807 00000 01907 00000 02007 00000 02107 00000 02207 00000T02307 00000 02407 00000 02507 00000 02607 00000 02707 00000 02807 00000 02907 00000T03007 00000 03107 00000 0
"
1010,7831,1999,12,20,USC00285003,GHCND,LONG VALLEY,40.7875,-74.7789,20,14962,NA,0,0,0,44,-22,"USC00285003199912TMAX   28  0    6  0   83  0  144  0  144  0  167  0  111  0   89  0  100  0  139  0  100  0   56  0   44  0   56  0   44  0   72  0   78  0   44  0   33  0   44  0   72  0   50  0   33  0   44  0  -22  0  -17  0  -11  0  -17  0  -22  0   11  0   72  0
USC00285003199912TMIN  -67  0  -61  0  -44  0  -33  0    0  0    0  0   44  0  -22  0  -39  0  -33  0    0  0  -11  0  -44  0  -39  0   33  0   44  0  -11  0  -22  0  -22  0  -22  0    0  0    0  0  -72  0  -78  0 -122  0 -122  0  -67  0  -78  0  -72  0  -67  0  -44  0
USC00285003199912TOBS  -61  0  -28  0  -33  0   56  0    0  0   83  0   44  0  -11  0  -33  0    0  0   28  0    0  0  -39  0   44  0   44  0   56  0  -11  0    0  0  -11  0    0  0   56  0    6  0  -67  0  -72  0 -122  0  -67  0  -33  0  -72  0  -33  0  -22  0   11  0
USC00285003199912PRCP    0P 0    0P 0    0P 0   15  0    0P 0    0T 0  122  0    0P 0    0P 0    0P 0   51  0    0P 0    0P 0   48  0  165  0   18  0    8  0    0P 0    0P 0    0T 0  198  0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    5  0
USC00285003199912SNOW    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0
USC00285003199912SNWD    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0    0P 0
"
